scenario,member_id,arm,transactions_12w,activated,opted_out,evidence_label
B_engagement_without_behaviour,B-A-00000,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00001,A_holdout,9,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00002,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00003,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00004,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00005,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00006,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00007,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00008,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00009,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00010,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00011,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00012,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00013,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00014,A_holdout,13,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00015,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00016,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00017,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00018,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00019,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00020,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00021,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00022,A_holdout,9,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00023,A_holdout,18,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00024,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00025,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00026,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00027,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00028,A_holdout,10,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00029,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00030,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00031,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00032,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00033,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00034,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00035,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00036,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00037,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00038,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00039,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00040,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00041,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00042,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00043,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00044,A_holdout,9,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00045,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00046,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00047,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00048,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00049,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00050,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00051,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00052,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00053,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00054,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00055,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00056,A_holdout,1,0,1,CALCULATED
B_engagement_without_behaviour,B-A-00057,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00058,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00059,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00060,A_holdout,5,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00061,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00062,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00063,A_holdout,8,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00064,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00065,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00066,A_holdout,3,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00067,A_holdout,0,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00068,A_holdout,6,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00069,A_holdout,2,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00070,A_holdout,1,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00071,A_holdout,4,0,0,CALCULATED
B_engagement_without_behaviour,B-A-00072,A_holdout,6,0,0,CALCULATED
